,ItemNo,AItemName
482,1447,مندريل 11مم كبير
483,1442,علاق مناشف ثقيل
484,1448,مندريل 10 مم صغير
485,1449,منشار حديد كامل فرنسي احمر
486,1451,منشار خشب 16 سم
487,1452,منشار خشب سويدى
488,1453,انتركام 2 خط الترا اسبانى
489,1454,انتركام 1 خط الترا اسبانى
490,1456,منظف 1 كيلو  OK
491,1457,منظف بلاط جالون ديكسن
492,1455,منظف 1/2 كيلو  OK
493,145,"جلبة ذكر حار1/2"" نحاس"
494,1458,صفاية المنيوم شبك زاوية 15*15سم
495,1459,محول كهرباءايطالى 13A -TC-500
496,1460,محول كهرباءايطالى 13A -TC-1000
497,1461,محول كهرباءايطالى 13A -TC-1500
498,1462,محول كهرباءايطالى 13A -TC-2000
499,1463,محول كهرباءايطالى 13A -TC-3000
500,1464,خلاط دش اتوماتيك EXCEL
501,1465,خلاط مغسلة اتوماتيك EXCEL
502,146,"جلبة ذكر حار1/2-1"" نحاس"
503,1450,لمبة بلحة ليد 4 وات
504,1466,خلاط مجلة جداراتوماتيك EXCEL
505,1467,خلاط دش كلودى
506,1470,نايلون 150 ميكرو لفة
507,1474,نايلون 500 ميكرو لفة
508,1476,نظارة شفاف
509,1477,"نقاص ابيض 2"" * 1""بلاستيك"
510,1478,"نقاص بارد 1/4-1"" * 3/4"" بلاستيك"
511,1479,"نقاص حار 1""*1/2"
512,147,"جلبة ذكر حار 1/4-1"" نحاس"
513,1475,نايلون خفيف  لفة
514,1469,نايلون 100 ميكرو
515,1473,نايلون 400 ميكرو لفة
516,148,"جلبة ذكر حار3/4"" نحاس"
517,1480,"نقاص حار 3/4 * 1/2"""
518,1482,"نقاص ابيض 110 مم * 1/2-1"""
519,1483,نقاص ابلكو 110* 75 ملي
520,1484,"نيبل بلاستيك 4"""
521,1485,نقاص نامات 110مم * 50مم
522,1486,نقاص ابلكو 110 * 50 ملي
523,1487,نقاص ابلكو 160 * 110ملي
524,1489,"نقاص بارد 3""*2"" ضغط 80"
525,1490,نقاص تركي 25 * 20مم
526,1471,نايلون 200 ميكرو لفة
527,1472,نايلون 300 ميكرو لفة
528,1481,"نقاص بارد 1/2-1"" * 1بلاستيك"
529,149,جلبة ذكركروم 10 ملي هزنت
530,1488,نقاص نامات 160مم * 110مم
531,1492,"نقاص ابيض 110 * 3"" ضغط 40"
532,1493,"نقاص حار 1"" * 3/4"""
533,1494,نقاص تركي 32 * 25مم
534,1496,"قسام حديد 3*1"" موديل"
535,1498,نقاص ابلكو 75 * 50 ملي
536,15,"قسام حديد 1/2-2""*1/2-1"""
537,150,جلبة ذكركروم 10 ملي ايطالي
538,1500,"كوع سنة ابيض 3/4"""
539,1499,نقاص ابيض 114*110 ملي( جلبة )
540,1491,"نقاص بارد 3""*1"" ضغط 80"
541,1497,"نقاص بارد 4""* 3"" ضغط 80"
542,1495,نقاص قبلان 32 * 25 ملى
543,1502,"نقاص حديد 1"" * 1/2"" يابانى"
544,1503,"نقاص حديد 1"" * 3/4"" يابانى"
545,1504,"نقاص حديد 1/2-1"" * 1"" يابانى"
546,1505,"نقاص حديد 1/4-1"" * 1"" يابانى"
547,1507,"نقاص حديد 3"" * 1"" يابانى"
548,1508,"نقاص حديد 3"" * 2"" يابانى"
549,1509,"نقاص حديد 3/4"" * 1/2"" يابانى"
550,1510,قاطع بالعلبة A300الترا
551,1506,"نقاص حديد 2"" * 1""يابانى"
552,151,جلبة ذكركروم 15 ملي هزنت
553,1501,"نقاص حديد 1/2-1""* 1/4-1"" يابانى"
554,1512,"سكر زاوية *3/8 *  1/2"" موديل قروهي"
555,1514,"نقاص ابيض 1/2"" * 3/4""بلاستيك"
556,1515,"نقاص بارد 2"" * 1"" ضغط 80 بلاستيك"
557,1516,"نقاص بارد 2"" * 1/2-1"""
558,1517,"نقاص ابيض3"" * 1/2-1"" ضغط 40 بلاستيك"
559,1518,"نيبل حديد 4"" ياباني"
560,1519,"نيبل حديد 1"" * 3/4"" يابانى"
561,1513,"نقاص حار 1/2-1"" * 1/4-1"""
562,1521,"نيبل حديد 1/2-1"" يابانى"
563,1528,شطاف اسباني
564,1529,"نيبل حديد 1/2"" موديل"
565,1531,صفاية بلاستيك 15*15 سم شخال
566,1523,"نيبل حديد 2"" ياباني"
567,1527,"نيبل كروم  1/2""هندى"
568,1530,"نيبل حديد 3"" موديل"
569,1522,"نيبل حديد 1/2"" ياباني"
570,1525,"نيبل حديد 3/4"" ياباني"
